COMMIT  |     SIZE |     DIFF | MESSAGE                                                      | OUTPUT
503813e |     4950 |      111 | build: adds vec.js to bundle                                 | # dist/index.html.zip <=== 4.83 KB (4950 B)
d4698ee |     4839 |        0 | settings: tweeks ZERO_LIMIT for more fluid movement          | # dist/index.html.zip <=== 4.73 KB (4839 B)
cf6876a |     4839 |        0 | doc: regenerate statistics.csv                               | # dist/index.html.zip <=== 4.73 KB (4839 B)
75ba2fe |     4839 |        0 | Merge branch 'shoot'                                         | # dist/index.html.zip <=== 4.73 KB (4839 B)
056c63e |     4839 |       27 | direction: player faces mouse position (x-axis based)        | # dist/index.html.zip <=== 4.73 KB (4839 B)
30c5cfb |     4812 |        1 | states/rendering: fixes issue where player thought he was mo | # dist/index.html.zip <=== 4.7 KB (4812 B)
75982d1 |     4811 |     -100 | shooting: implements collision axis handling                 | # dist/index.html.zip <=== 4.7 KB (4811 B)
2939ece |     4911 |      141 | player: adds basic shoot (left-mouse-button)                 | # dist/index.html.zip <=== 4.8 KB (4911 B)
e78a4de |     4770 |       24 | entity: improves configuration logic                         | # dist/index.html.zip <=== 4.66 KB (4770 B)
16bf0e2 |     4746 |        0 | debug: toggling debug removes visual info                    | # dist/index.html.zip <=== 4.63 KB (4746 B)
078c28b |     4746 |        0 | debug: display info / page errors                            | # dist/index.html.zip <=== 4.63 KB (4746 B)
eafa725 |     4746 |      -44 | minor changes about logging                                  | # dist/index.html.zip <=== 4.63 KB (4746 B)
94dcd11 |     4790 |       38 | debug: separates debug related drawing code into function    | # dist/index.html.zip <=== 4.68 KB (4790 B)
2a0c0c5 |     4752 |        0 | regenerate statistics.csv                                    | # dist/index.html.zip <=== 4.64 KB (4752 B)
d420802 |     4752 |        0 | debug: binds "v" to toggle debug mode                        | # dist/index.html.zip <=== 4.64 KB (4752 B)
412bf0e |     4752 |      552 | implemented glitch movement improved DEBUG removal           | # dist/index.html.zip <=== 4.64 KB (4752 B)
ec8fda7 |     4200 |       96 | added A*                                                     | # dist/index.html.zip <=== 4.1 KB (4200 B)
c491a69 |     4104 |        0 | regenerate statistics.csv - right aligned                    | # dist/index.html.zip <=== 4.01 KB (4104 B)
5eff0e5 |     4104 |        0 | doc: right-align statistics.csv                              | # dist/index.html.zip <=== 4.01 KB (4104 B)
7102b50 |     4104 |        0 | added a tree                                                 | # dist/index.html.zip <=== 4.01 KB (4104 B)
0f79a27 |     4104 |        0 | refereshes statistics.csv                                    | # dist/index.html.zip <=== 4.01 KB (4104 B)
e8bd513 |     4104 |        0 | doc: improved generate-statistics.sh                         | # dist/index.html.zip <=== 4.01 KB (4104 B)
0c1ce1d |     4104 |        0 | refresh stats.csv                                            | # dist/index.html.zip <=== 4.01 KB (4104 B)
cb1a4b2 |     4104 |        0 | improves generated format of stats.csv                       | # dist/index.html.zip <=== 4.01 KB (4104 B)
76cbf6f |     4104 |        0 | refresh stats.csv                                            | # dist/index.html.zip <=== 4.01 KB (4104 B)
6775149 |     4104 |        0 | moves statistics / generator into doc                        | # dist/index.html.zip <=== 4.01 KB (4104 B)
12ec90b |     4104 |        0 | Merge branch 'size-stats'                                    | # dist/index.html.zip <=== 4.01 KB (4104 B)
1f7cf72 |     4104 |        0 | adds filesize/commit statistics                              | # dist/index.html.zip <=== 4.01 KB (4104 B)
708f565 |     4104 |       -3 | adds jshint:strict as an option                              | # dist/index.html.zip <=== 4.01 KB (4104 B)
3701369 |     4107 |        0 | doc: todo update                                             | # dist/index.html.zip <=== 4.01 KB (4107 B)
4c7c45e |     4107 |       -5 | minor optimizations                                          | # dist/index.html.zip <=== 4.01 KB (4107 B)
a1ffe9d |     4112 |        0 | test: makes main.spec wait for onload to execute specs       | # dist/index.html.zip <=== 4.02 KB (4112 B)
c15c4ba |     4112 |        0 | doc: todo update                                             | # dist/index.html.zip <=== 4.02 KB (4112 B)
e6f9dc3 |     4112 |       95 | use createEntity on shooting (atm monster)                   | # dist/index.html.zip <=== 4.02 KB (4112 B)
45b1498 |     4017 |        0 | karma: moar general config                                   | # dist/index.html.zip <=== 3.92 KB (4017 B)
f86d542 |     4017 |        0 | package: cleanup                                             | # dist/index.html.zip <=== 3.92 KB (4017 B)
4324f49 |     4017 |       -1 | grunt: adds possiblity to include moar JS w/o overhead       | # dist/index.html.zip <=== 3.92 KB (4017 B)
fcd1ef6 |     4018 |       11 | move execution / friction to entity level                    | # dist/index.html.zip <=== 3.92 KB (4018 B)
9c4c906 |     4007 |      105 | adds basic logic for shooting                                | # dist/index.html.zip <=== 3.91 KB (4007 B)
dca3133 |     3902 |        0 | doc: updates comments                                        | # dist/index.html.zip <=== 3.81 KB (3902 B)
377a63f |     3902 |        0 | fixes debug event binding                                    | # dist/index.html.zip <=== 3.81 KB (3902 B)
d709a2b |     3902 |        0 | adds debug mode to assert stuff between loops                | # dist/index.html.zip <=== 3.81 KB (3902 B)
889aa3a |     3902 |        0 | meh.. strict is too much in jshint                           | # dist/index.html.zip <=== 3.81 KB (3902 B)
9f9ceac |     3902 |        0 | fixed build                                                  | # dist/index.html.zip <=== 3.81 KB (3902 B)
7624e0a |     3902 |       73 | basic sprite mirroring                                       | # dist/index.html.zip <=== 3.81 KB (3902 B)
f1a8a6f |     3829 |       63 | added z-based rendering                                      | # dist/index.html.zip <=== 3.74 KB (3829 B)
cbd49a2 |     3766 |        0 | adds todo.md                                                 | # dist/index.html.zip <=== 3.68 KB (3766 B)
f902a1b |     3766 |       12 | improved tp UX, it uses now acc-vector                       | # dist/index.html.zip <=== 3.68 KB (3766 B)
d3e6582 |     3754 |        0 | Merge branch 'cursor'                                        | # dist/index.html.zip <=== 3.67 KB (3754 B)
cf87137 |     3754 |      194 | adds basic cursor                                            | # dist/index.html.zip <=== 3.67 KB (3754 B)
ce99910 |     3560 |        0 | improves asset:stringify file commenting                     | # dist/index.html.zip <=== 3.48 KB (3560 B)
6d6ebd7 |     3560 |       22 | register animation frame on every entity                     | # dist/index.html.zip <=== 3.48 KB (3560 B)
1a8a767 |     3538 |      193 | adds basic tp effect                                         | # dist/index.html.zip <=== 3.46 KB (3538 B)
b8739f5 |     3345 |        0 | use strict for jshint unused                                 | # dist/index.html.zip <=== 3.27 KB (3345 B)
21944a1 |     3345 |        0 | updates img.js by new generated commnet                      | # dist/index.html.zip <=== 3.27 KB (3345 B)
9b42e14 |     3345 |     -109 | removes asset regeneration from build process                | # dist/index.html.zip <=== 3.27 KB (3345 B)
9c9356c |     3454 |       33 | prepares procedural spritesheet definition for entities      | # dist/index.html.zip <=== 3.37 KB (3454 B)
09638e0 |     3421 |       -1 | whoops wrong params for createCanvas call                    | # dist/index.html.zip <=== 3.34 KB (3421 B)
b55de83 |     3422 |        2 | minor fn move                                                | # dist/index.html.zip <=== 3.34 KB (3422 B)
f5706ac |     3420 |       -5 | moar params for .createCanvas                                | # dist/index.html.zip <=== 3.34 KB (3420 B)
3a80827 |     3425 |       47 | adds asset config to entity creation                         | # dist/index.html.zip <=== 3.34 KB (3425 B)
cc2f907 |     3378 |        0 | Merge branch 'array-based-position'                          | # dist/index.html.zip <=== 3.3 KB (3378 B)
4dfcfd8 |     3378 |      104 | adds .moving state to entities                               | # dist/index.html.zip <=== 3.3 KB (3378 B)
6e4bf3e |     3274 |       33 | use moar animation frames - in progress ...                  | # dist/index.html.zip <=== 3.2 KB (3274 B)
4194675 |     3241 |       15 | preventDefault for binded action keys                        | # dist/index.html.zip <=== 3.17 KB (3241 B)
305dcba |     3226 |       -5 | removes Math shortcuts                                       | # dist/index.html.zip <=== 3.15 KB (3226 B)
3713b8e |     3231 |        0 | Merge branch 'teleport'                                      | # dist/index.html.zip <=== 3.16 KB (3231 B)
8a55f22 |     3231 |       70 | improves command handling + teleport                         | # dist/index.html.zip <=== 3.16 KB (3231 B)
5d5b1d4 |     3161 |       -9 | minor clean after merge                                      | # dist/index.html.zip <=== 3.09 KB (3161 B)
cdbf9d4 |     3170 |       52 | connected updateEntity with the map data structure           | # dist/index.html.zip <=== 3.1 KB (3170 B)
be9752e |     3118 |       -3 | improved map & added new player sprite                       | # dist/index.html.zip <=== 3.04 KB (3118 B)
9a476db |     3121 |       16 | basic map rendering with simple tiles                        | # dist/index.html.zip <=== 3.05 KB (3121 B)
2e26383 |     3105 |      373 | map gen prototype                                            | # dist/index.html.zip <=== 3.03 KB (3105 B)
f407044 |     2732 |        0 | Merge branch 'movement'                                      | # dist/index.html.zip <=== 2.67 KB (2732 B)
ef3708c |     2732 |       13 | improves movement handling                                   | # dist/index.html.zip <=== 2.67 KB (2732 B)
f34f4d4 |     2719 |        0 | grunt: simplify autoremoved script part                      | # dist/index.html.zip <=== 2.66 KB (2719 B)
fa97c7d |     2719 |        0 | modifies package description                                 | # dist/index.html.zip <=== 2.66 KB (2719 B)
fec5b29 |     2719 |        0 | removes unnecessary mock markup from test                    | # dist/index.html.zip <=== 2.66 KB (2719 B)
c5b653b |     2719 |        0 | regenerate current img.js                                    | # dist/index.html.zip <=== 2.66 KB (2719 B)
0e1fe30 |     2719 |        0 | removed es6                                                  | # dist/index.html.zip <=== 2.66 KB (2719 B)
9da06a3 |     2719 |        0 | fixed build, me sorry                                        | # dist/index.html.zip <=== 2.66 KB (2719 B)
2fc4cfd |     2719 |      -84 | saves some more bytes                                        | # dist/index.html.zip <=== 2.66 KB (2719 B)
e6f6c1b |     2803 |      -90 | decrease built size                                          | # dist/index.html.zip <=== 2.74 KB (2803 B)
272703a |     2893 |      -84 | removes unnecessary shortcuts                                | # dist/index.html.zip <=== 2.83 KB (2893 B)
18e367f |     2977 |          | added MAX_SIZE to report:size grunt task                     | # dist/index.html.zip <=== 2.91 KB (2977 B)
12f8610 |  2.91 KB |          | adds shortcut for some useful methods on string/array        | # dist/index.html.zip <=== 2.91 KB
c99960a |  2.83 KB |          | minor renames                                                | # dist/index.html.zip <=== 2.83 KB
93dd016 |  2.83 KB |          | movement: 0.0.1 movement logic                               | # dist/index.html.zip <=== 2.83 KB
2b4ec8d |   2.6 KB |          | generalizes image creation                                   | # dist/index.html.zip <=== 2.6 KB
b55cd03 |  2.58 KB |          | grunt: adds strict config to grunt test                      | # dist/index.html.zip <=== 2.58 KB
